City,Date,AQI,PM2.5,PM10,NO2,CO,O3,SO2
Delhi,1/1/2024,152,153,151,26.50913109,1.581412901,123.40153,25.06247388
Delhi,1/2/2024,264,288,268,87.95585312,1.242118522,144.5337898,5.926302243
Delhi,1/3/2024,307,344,357,94.46974381,0.101479655,198.5201963,32.78666793
Delhi,1/4/2024,363,334,347,12.07561825,1.097071854,85.97358463,7.099954845
Delhi,1/5/2024,237,266,250,51.04629858,1.591834327,47.93801861,28.14054973
Delhi,1/6/2024,369,321,327,64.67903667,0.423995835,22.35980267,47.69984918
Delhi,1/7/2024,365,328,347,44.68748523,0.130335879,53.86982687,15.84614597
Delhi,1/8/2024,493,513,526,54.56592191,0.16533819,182.7708764,16.64509917
Delhi,1/9/2024,409,362,333,48.2640287,0.495089159,117.8630623,6.409098161
Delhi,1/10/2024,451,490,503,94.55490474,1.800171966,123.600996,46.48434058
Delhi,1/11/2024,264,275,284,86.00804638,1.519908209,112.5415052,31.40380245
Delhi,1/12/2024,266,275,304,34.83992638,0.662919661,41.40071842,5.703638303
Delhi,1/13/2024,58,95,65,27.88441134,0.110492023,164.9376714,36.80858047
Delhi,1/14/2024,212,196,198,64.53639773,1.859971669,133.7046348,46.1731854
Delhi,1/15/2024,250,271,252,39.78082224,0.220760866,69.08664113,19.63324949
Delhi,1/16/2024,148,141,150,34.72496137,1.166362509,82.7561062,48.72704429
Delhi,1/17/2024,180,130,104,60.51494778,1.564837642,103.8211633,28.52297732
Delhi,1/18/2024,64,103,114,49.54028517,0.483266484,180.1950832,26.39166004
Delhi,1/19/2024,145,98,97,22.5398309,1.248393021,112.5698073,14.13775511
Delhi,1/20/2024,62,43,19,36.07763076,0.406320446,186.6425539,41.36541708
Delhi,1/21/2024,490,445,442,82.33048692,0.454483112,179.5862097,29.27040089
Delhi,1/22/2024,397,435,443,91.61455974,0.617051274,133.0611229,5.023416965
Delhi,1/23/2024,282,234,242,24.81902678,1.114769897,102.1176946,36.15962148
Delhi,1/24/2024,283,276,269,94.86187335,0.714085571,108.5702181,36.63585315
Delhi,1/25/2024,162,173,191,32.85238725,0.569064519,142.2978118,37.05217655
Delhi,1/26/2024,150,155,141,34.01029128,1.955568416,88.09703253,6.487282981
Delhi,1/27/2024,273,319,289,31.56057016,0.375300257,102.9960245,49.35427043
Delhi,1/28/2024,465,482,506,78.54576538,0.551511334,148.3611062,21.55024097
Delhi,1/29/2024,421,468,443,45.89419982,1.651220559,161.6855737,11.78228948
Delhi,1/30/2024,236,255,240,13.66976274,1.222696592,138.7372288,5.746452302
Delhi,1/31/2024,196,165,166,18.6558896,1.886994203,85.53868401,28.29881077
Delhi,2/1/2024,409,359,339,40.69597159,0.31559969,185.6917875,44.4802709
Delhi,2/2/2024,148,104,133,25.74594344,1.966119852,108.1608193,16.73731287
Delhi,2/3/2024,434,431,412,60.24641082,1.777009052,45.85435058,17.54921087
Delhi,2/4/2024,196,193,178,90.7399234,1.785464206,158.1763537,33.89142408
Delhi,2/5/2024,124,145,150,90.86987697,1.252215213,11.74743981,9.566219429
Delhi,2/6/2024,148,122,120,35.55288773,0.680191335,102.2666132,25.17908643
Delhi,2/7/2024,494,484,489,74.09612992,0.550773266,71.82594265,38.59211323
Delhi,2/8/2024,433,390,366,74.88459318,0.685315505,113.0826438,27.89663346
Delhi,2/9/2024,424,395,410,63.08837628,1.959896431,102.4810091,45.77444545
Delhi,2/10/2024,76,123,113,55.23733838,1.196117381,103.5783618,13.78593445
Delhi,2/11/2024,366,363,351,61.48037793,1.560252627,18.28471663,49.75477299
Delhi,2/12/2024,207,249,264,92.33779512,0.80330153,12.93675714,46.77433532
Delhi,2/13/2024,351,353,353,96.72579794,1.720717965,65.94528949,22.32939779
Delhi,2/14/2024,210,226,213,60.11211362,1.878694071,142.2456614,30.65275265
Delhi,2/15/2024,329,310,326,99.10484651,0.366159629,108.4826339,44.48178824
Delhi,2/16/2024,322,304,282,73.22356756,0.783033187,65.78245041,41.421252
Delhi,2/17/2024,404,403,397,65.03623398,0.255028943,10.98512393,33.25524867
Delhi,2/18/2024,69,83,60,73.17701895,1.612006072,179.1010149,20.20978206
Delhi,2/19/2024,141,188,159,49.46267107,1.376849657,72.34900682,11.97687275
Delhi,2/20/2024,239,210,237,87.43641565,0.575477585,17.37859954,18.64694816
Delhi,2/21/2024,493,539,516,79.29941978,0.510059952,128.3491904,8.840635925
Delhi,2/22/2024,414,459,480,47.02185146,1.4290732,36.28708756,10.973544
Delhi,2/23/2024,419,398,386,81.56675753,0.614581277,93.40456993,8.53053716
Delhi,2/24/2024,278,317,339,17.278567,0.913797502,140.8149811,7.618711798
Delhi,2/25/2024,171,121,137,32.52186083,1.143530663,145.7732253,34.70888195
Delhi,2/26/2024,422,372,357,56.50266317,1.348511524,92.77785075,37.85176925
Delhi,2/27/2024,125,100,85,24.27818029,0.328312831,74.95713668,9.130957962
